Time_s,Moment_Z_Nm
0.7361170,-0.4221410278
0.7366726,-0.4223626124
0.7372281,-0.4226644359
0.7377837,-0.4229202067
0.7383392,-0.4224750820
0.7388948,-0.4225586566
0.7394504,-0.4229462055
0.7400059,-0.4233457887
0.7405615,-0.4296293859
0.7411170,-0.4282060480
0.7416726,-0.4237474143
0.7422282,-0.4229242338
0.7427837,-0.4228737824
0.7433393,-0.4230335483
0.7438948,-0.4219363336
0.7444504,-0.4230589388
0.7450060,-0.4229532485
0.7455615,-0.4229687328
0.7461171,-0.4277154851
0.7466726,-0.4295195189
0.7472282,-0.4284222288
0.7477838,-0.4231152641
0.7483393,-0.4230524712
0.7488949,-0.4226252945
0.7494504,-0.4223926740
0.7500060,-0.4229990692
0.7505616,-0.4228369075
0.7511171,-0.4229571228
0.7516727,-0.4230574856
0.7522282,-0.4296331935
0.7527838,-0.4274802460
0.7533394,-0.4251650432
0.7538949,-0.4230230108
0.7544505,-0.4227531869
0.7550060,-0.4223729402
0.7555616,-0.4217418096
0.7561172,-0.4226785379
0.7566727,-0.4223171061
0.7572283,-0.4222712323
0.7577838,-0.4257889475
0.7583394,-0.4292169635
0.7588950,-0.4274831936
0.7594505,-0.4227942296
0.7611172,-0.4219084854
0.7616728,-0.4218377230
0.7622283,-0.4226165478
0.7627839,-0.4220907216
0.7633394,-0.4214199504
0.7638950,-0.4214246517
0.7644506,-0.4223058112
0.7650061,-0.4218716364
0.7655617,-0.4217527373
0.7661172,-0.4214990341
0.7666728,-0.4212931427
0.7672284,-0.4215871594
0.7677839,-0.4212719851
0.7683395,-0.4221132010
0.7688950,-0.4215341020
0.7694506,-0.4215221391
0.7700062,-0.4218201661
0.7705617,-0.4216973438
0.7711173,-0.4221551805
0.7716728,-0.4218699794
0.7722284,-0.4220294002
0.7727840,-0.4220580622
0.7733395,-0.4217345138
0.7738951,-0.4218928704
0.7744506,-0.4217797748
0.7750062,-0.4215199675
0.7755618,-0.4222723762
0.7761173,-0.4220572946
0.7766729,-0.4227144140
0.7772284,-0.4228422373
0.7777840,-0.4230498321
0.7783396,-0.4230658592
0.7788951,-0.4237099343
0.7794507,-0.4235902577
0.7800062,-0.4238621734
0.7805618,-0.4237021002
0.7811174,-0.4241987053
0.7816729,-0.4242847264
0.7822285,-0.4242767727
0.7827840,-0.4239196653
0.7833396,-0.4245068907
0.7838952,-0.4241783413
0.7844507,-0.4247434807
0.7850063,-0.4246626841
0.7861174,-0.4238385155
0.7866730,-0.4241685736
0.7872285,-0.4242539951
0.7877841,-0.4246378177
0.7883396,-0.4243296404
0.7888952,-0.4242261772
0.7894508,-0.4243519275
0.7900063,-0.4247984156
0.7905619,-0.4307542549
0.7911174,-0.4296116370
0.7916730,-0.4248517110
0.7922286,-0.4242388229
0.7927841,-0.4235625651
0.7933397,-0.4236537823
0.7938952,-0.4225312315
0.7944508,-0.4235378637
0.7950064,-0.4234400794
0.7955619,-0.4229308491
0.7961175,-0.4279395864
0.7966730,-0.4293607766
0.7972286,-0.4280131963
0.7977842,-0.4230961226
0.7983397,-0.4225942833
0.7988953,-0.4222832334
0.7994508,-0.4219299508
0.8000064,-0.4222833698
0.8005620,-0.4221072588
0.8011175,-0.4219174631
0.8016731,-0.4222315754
0.8022286,-0.4223263594
0.8027842,-0.4289747539
0.8033398,-0.4260971245
0.8038953,-0.4237513990
0.8044509,-0.4222278685
0.8050064,-0.4219682571
0.8055620,-0.4215651501
0.8061176,-0.4207695289
0.8066731,-0.4219823436
0.8072287,-0.4217615842
0.8077842,-0.4216240612
0.8083398,-0.4254715058
0.8088954,-0.4284815454
0.8094509,-0.4275482576
