Time_s,Moment_Z_Nm
0.09055628,-0.2006495135
0.09111184,-0.1992209857
0.09166740,-0.1945616680
0.09222296,-0.1936801898
0.09277852,-0.1935405978
0.09333408,-0.1935904874
0.09388964,-0.1925529928
0.09444520,-0.1935618759
0.09500076,-0.1934351612
0.09555632,-0.1933841154
0.09611188,-0.1974205586
0.09666744,-0.1991719271
0.09722300,-0.1986635619
0.09777856,-0.1936701085
0.09833412,-0.1934246970
0.09888968,-0.1933772884
0.09944524,-0.1931530212
0.10000080,-0.1932328140
0.10055636,-0.1931279076
0.10111192,-0.1932272391
0.10166748,-0.1936629118
0.10222304,-0.1938864018
0.10277860,-0.2003297878
0.10333416,-0.1986979146
0.10388972,-0.1958540032
0.10444528,-0.1935169604
0.10500084,-0.1934621421
0.10555640,-0.1932849223
0.10611196,-0.1924314688
0.10666752,-0.1935428317
0.10722308,-0.1931284526
0.10777864,-0.1930465183
0.10833420,-0.1962393445
0.10888976,-0.1996256217
0.10944532,-0.1988223584
0.11000088,-0.1934960030
0.11055644,-0.1929944901
0.11111200,-0.1929241263
0.11166756,-0.1927827205
0.11222312,-0.1935984720
0.11277868,-0.1929594972
0.11333424,-0.1926173979
0.11388980,-0.1928692468
0.11444536,-0.1937534935
0.11500092,-0.1933502253
0.11555648,-0.1930490707
0.11611204,-0.1930701882
0.11666760,-0.1928072885
0.11722316,-0.1927619677
0.11777872,-0.1936630914
0.11833428,-0.1936469705
0.11888984,-0.1931825017
0.11944540,-0.1931315252
0.12000096,-0.1933365720
0.12055652,-0.1932428281
0.12111208,-0.1935485155
0.12166764,-0.1933106304
0.12222320,-0.1934210376
0.12277876,-0.1931762427
0.12333432,-0.1928863824
0.12388988,-0.1926434133
0.12444544,-0.1928596162
0.12500100,-0.1924209987
0.12555656,-0.1930583998
0.12611212,-0.1928956656
0.12666768,-0.1930844621
0.12722324,-0.1933206101
0.12777880,-0.1933752076
0.12833436,-0.1932146290
0.12888992,-0.1937543389
0.12944548,-0.1931342520
0.13000104,-0.1935539369
0.13055660,-0.1933436427
0.13111216,-0.1935078061
0.13166772,-0.1936511589
0.13222328,-0.1936599008
0.13277884,-0.1930953800
0.13333440,-0.1933495144
0.13388996,-0.1935422110
0.13444552,-0.1939445743
0.13500108,-0.1939432819
0.13555664,-0.1937771794
0.13611220,-0.1930260636
0.13666776,-0.1936178777
0.13722332,-0.1937108229
0.13777888,-0.1938558982
0.13833444,-0.1936743948
0.13889000,-0.1934657670
0.13944556,-0.1938241123
0.14000112,-0.1940991223
0.14055668,-0.2007092795
0.14111224,-0.1993660819
0.14166780,-0.1945814636
0.14222336,-0.1938178088
0.14277892,-0.1936329344
0.14333448,-0.1936206890
0.14389004,-0.1927931156
0.14444560,-0.1936623537
0.14500116,-0.1936277813
0.14555672,-0.1933798123
0.14611228,-0.1975735834
0.14666784,-0.1992094544
0.14722340,-0.1987796893
0.14777896,-0.1937262095
0.14833452,-0.1933992660
0.14889008,-0.1933722631
0.14944564,-0.1932857419
0.15000120,-0.1933087842
0.15055676,-0.1932004336
0.15111232,-0.1933741994
0.15166788,-0.1937032040
0.15222344,-0.1938657142
0.15277900,-0.2003773870
0.15333456,-0.1988045769
0.15389012,-0.1958069537
0.15444568,-0.1935501732
0.15500124,-0.1934066040
0.15555680,-0.1932112137
0.15611236,-0.1923281105
0.15666792,-0.1935314872
0.15722348,-0.1929943405
0.15777904,-0.1930476855
0.15833460,-0.1963085798
0.15889016,-0.1994625558
0.15944572,-0.1988044944
0.16000128,-0.1933634137
0.16055684,-0.1929887141
0.16111240,-0.1927853437
0.16166796,-0.1928187551
0.16222352,-0.1935127203
0.16277908,-0.1930091859
0.16333464,-0.1925665603
0.16389020,-0.1928535492
0.16444576,-0.1936997849
0.16500132,-0.1934106446
0.16555688,-0.1931030469
0.16611244,-0.1930526800
0.16666800,-0.1927710327
0.16722356,-0.1927336828
0.16777912,-0.1936027440
0.16833468,-0.1937044642
0.16889024,-0.1932529991
0.16944580,-0.1931254825
0.17000136,-0.1933165335
0.17055692,-0.1930760431
0.17111248,-0.1936695187
0.17166804,-0.1932925575
0.17222360,-0.1933996723
0.17277916,-0.1932033420
0.17333472,-0.1928889276
0.17389028,-0.1927348527
0.17444584,-0.1929299003
0.17500140,-0.1923954422
0.17555696,-0.1930216642
0.17611252,-0.1928627883
0.17666808,-0.1932098859
0.17722364,-0.1933096255
0.17777920,-0.1932435170
0.17833476,-0.1933066202
0.17889032,-0.1935015186
0.17944588,-0.1931819154
0.18000144,-0.1936118263
0.18055700,-0.1932389064
0.18111256,-0.1933687730
0.18166812,-0.1937631172
0.18222368,-0.1935922439
0.18277924,-0.1932614441
0.18333480,-0.1934231305
0.18389036,-0.1934558814
0.18444592,-0.1939732084
0.18500148,-0.1938213471
0.18555704,-0.1937231403
0.18611260,-0.1930034574
0.18666816,-0.1935742318
0.18722372,-0.1937281640
0.18777928,-0.1938818626
0.18833484,-0.1934957869
0.18889040,-0.1934092943
0.18944596,-0.1937168207
0.19000152,-0.1941617875
